"gs","date","player","dob","age","agef","title","count"
NA,1989-08-11,"sampras",1971-08-12,18,18,0,0
"US Open",1990-09-10,"sampras",1971-08-12,19.0800821355236,19,1,1
"Wimbledon",1993-07-16,"sampras",1971-08-12,21.927446954141,21,1,2
"US Open",1993-09-10,"sampras",1971-08-12,22.0807665982204,22,1,3
"Australian Open",1994-01-29,"sampras",1971-08-12,22.466803559206,22,1,4
"Wimbledon",1994-07-16,"sampras",1971-08-12,22.9267624914442,22,1,5
"Wimbledon",1995-07-16,"sampras",1971-08-12,23.9260780287474,23,1,6
"US Open",1995-09-10,"sampras",1971-08-12,24.0793976728268,24,1,7
"US Open",1996-09-10,"sampras",1971-08-12,25.0814510609172,25,1,8
"Australian Open",1997-01-29,"sampras",1971-08-12,25.4674880219028,25,1,9
"Wimbledon",1997-07-16,"sampras",1971-08-12,25.927446954141,25,1,10
"Wimbledon",1998-07-16,"sampras",1971-08-12,26.9267624914442,26,1,11
"Wimbledon",1999-07-16,"sampras",1971-08-12,27.9260780287474,27,1,12
NA,1999-08-08,"federer",1981-08-08,18,18,0,0
"Wimbledon",2000-07-16,"sampras",1971-08-12,28.9281314168378,28,1,13
"US Open",2002-09-10,"sampras",1971-08-12,31.0800821355236,31,1,14
NA,2003-03-28,"wawrinka",1985-03-28,18,18,0,0
"Wimbledon",2003-07-16,"federer",1981-08-08,21.9356605065024,21,1,1
NA,2003-08-25,"sampras",1971-08-12,32.0355920602327,32,0,14
"Australian Open",2004-01-29,"federer",1981-08-08,22.4750171115674,22,1,2
NA,2004-06-02,"nadal",1986-06-03,18,18,0,0
"Wimbledon",2004-07-16,"federer",1981-08-08,22.9377138945927,22,1,3
"US Open",2004-09-10,"federer",1981-08-08,23.0910335386721,23,1,4
NA,2005-05-14,"murray",1987-05-15,18,18,0,0
NA,2005-05-21,"djokovic",1987-05-22,18,18,0,0
"Roland Garros",2005-06-10,"nadal",1986-06-03,19.0198494182067,19,1,1
"Wimbledon",2005-07-16,"federer",1981-08-08,23.937029431896,23,1,5
"US Open",2005-09-10,"federer",1981-08-08,24.0903490759754,24,1,6
"Australian Open",2006-01-29,"federer",1981-08-08,24.476386036961,24,1,7
"Roland Garros",2006-06-10,"nadal",1986-06-03,20.0191649555099,20,1,2
"Wimbledon",2006-07-16,"federer",1981-08-08,24.9363449691992,24,1,8
"US Open",2006-09-10,"federer",1981-08-08,25.0896646132786,25,1,9
"Australian Open",2007-01-29,"federer",1981-08-08,25.4757015742642,25,1,10
"Roland Garros",2007-06-10,"nadal",1986-06-03,21.0184804928131,21,1,3
"Wimbledon",2007-07-16,"federer",1981-08-08,25.9356605065024,25,1,11
"US Open",2007-09-10,"federer",1981-08-08,26.0889801505818,26,1,12
"Australian Open",2008-01-29,"djokovic",1987-05-22,20.6899383983573,20,1,1
"Roland Garros",2008-06-10,"nadal",1986-06-03,22.0205338809035,22,1,4
"Wimbledon",2008-07-16,"nadal",1986-06-03,22.1190965092402,22,1,5
"US Open",2008-09-10,"federer",1981-08-08,27.0910335386721,27,1,13
"Australian Open",2009-01-29,"nadal",1986-06-03,22.6584531143053,22,1,6
"Roland Garros",2009-06-10,"federer",1981-08-08,27.8384668035592,27,1,14
"Wimbledon",2009-07-16,"federer",1981-08-08,27.937029431896,27,1,15
"Australian Open",2010-01-29,"federer",1981-08-08,28.476386036961,28,1,16
"Roland Garros",2010-06-10,"nadal",1986-06-03,24.0191649555099,24,1,7
"Wimbledon",2010-07-16,"nadal",1986-06-03,24.1177275838467,24,1,8
"US Open",2010-09-10,"nadal",1986-06-03,24.2710472279261,24,1,9
"Australian Open",2011-01-29,"djokovic",1987-05-22,23.6906228610541,23,1,2
"Roland Garros",2011-06-10,"nadal",1986-06-03,25.0184804928131,25,1,10
"Wimbledon",2011-07-16,"djokovic",1987-05-22,24.1505817932923,24,1,3
"US Open",2011-09-10,"djokovic",1987-05-22,24.3039014373717,24,1,4
"Australian Open",2012-01-29,"djokovic",1987-05-22,24.6899383983573,24,1,5
"Roland Garros",2012-06-10,"nadal",1986-06-03,26.0205338809035,26,1,11
