"gs","date","player","dob","age","agef","title","count"
NA,1954-08-09,"laver",1938-08-09,16,16,0,0
NA,1959-07-10,"ashe",1943-07-10,16,16,0,0
NA,1960-05-23,"newcombe",1944-05-23,16,16,0,0
"Wimbledon",1961-07-16,"laver",1938-08-09,22.9349760438056,22,1,1
"Wimbledon",1962-07-16,"laver",1938-08-09,23.9342915811088,23,1,2
"Wimbledon",1967-07-16,"newcombe",1944-05-23,23.1457905544148,23,1,1
"Wimbledon",1968-07-16,"laver",1938-08-09,29.9356605065024,29,1,3
NA,1968-08-17,"vilas",1952-08-17,16,16,0,0
NA,1968-09-02,"connors",1952-09-02,16,16,0,0
"US Open",1968-09-10,"ashe",1943-07-10,25.1718001368925,25,1,1
"Australian Open",1969-01-29,"laver",1938-08-09,30.4750171115674,30,1,4
"Roland Garros",1969-06-10,"laver",1938-08-09,30.8364134154689,30,1,5
"Wimbledon",1969-07-16,"laver",1938-08-09,30.9349760438056,30,1,6
"US Open",1969-09-10,"laver",1938-08-09,31.088295687885,31,1,7
"Australian Open",1970-01-29,"ashe",1943-07-10,26.5571526351814,26,1,2
"Wimbledon",1970-07-16,"newcombe",1944-05-23,26.1464750171116,26,1,2
"Wimbledon",1971-07-16,"newcombe",1944-05-23,27.1457905544148,27,1,3
NA,1972-06-06,"borg",1956-06-06,16,16,0,0
"Australian Open",1973-01-29,"newcombe",1944-05-23,28.6872005475702,28,1,4
"US Open",1973-09-10,"newcombe",1944-05-23,29.3004791238877,29,1,5
"Australian Open",1974-01-29,"connors",1952-09-02,21.4072553045859,21,1,1
"Roland Garros",1974-06-10,"borg",1956-06-06,18.009582477755,18,1,1
"Wimbledon",1974-07-16,"connors",1952-09-02,21.8672142368241,21,1,2
"US Open",1974-09-10,"connors",1952-09-02,22.0205338809035,22,1,3
"Australian Open",1975-01-29,"newcombe",1944-05-23,30.6858316221766,30,1,6
NA,1975-02-16,"mcenroe",1959-02-16,16,16,0,0
"Roland Garros",1975-06-10,"borg",1956-06-06,19.0088980150582,19,1,2
"Wimbledon",1975-07-16,"ashe",1943-07-10,32.0164271047228,32,1,3
NA,1976-03-07,"lendl",1960-03-07,16,16,0,0
"Wimbledon",1976-07-16,"borg",1956-06-06,20.1095140314853,20,1,3
"US Open",1976-09-10,"connors",1952-09-02,24.0219028062971,24,1,4
"Roland Garros",1977-06-10,"vilas",1952-08-17,24.8131416837782,24,1,1
"Wimbledon",1977-07-16,"borg",1956-06-06,21.1088295687885,21,1,4
"US Open",1977-09-10,"vilas",1952-08-17,25.0650239561944,25,1,2
"Australian Open",1978-01-29,"vilas",1952-08-17,25.45106091718,25,1,3
"Roland Garros",1978-06-10,"borg",1956-06-06,22.009582477755,22,1,5
"Wimbledon",1978-07-16,"borg",1956-06-06,22.1081451060917,22,1,6
"US Open",1978-09-10,"connors",1952-09-02,26.0205338809035,26,1,5
"Australian Open",1979-01-29,"vilas",1952-08-17,26.4503764544832,26,1,4
"Roland Garros",1979-06-10,"borg",1956-06-06,23.0088980150582,23,1,7
"Wimbledon",1979-07-16,"borg",1956-06-06,23.1074606433949,23,1,8
"US Open",1979-09-10,"mcenroe",1959-02-16,20.5639972621492,20,1,1
NA,1979-12-26,"laver",1938-08-09,41.3798767967146,41,0,7
NA,1980-03-03,"ashe",1943-07-10,36.6488706365503,36,0,3
"Roland Garros",1980-06-10,"borg",1956-06-06,24.0109514031485,24,1,9
"Wimbledon",1980-07-16,"borg",1956-06-06,24.1095140314853,24,1,10
NA,1980-08-22,"wilander",1964-08-22,16,16,0,0
"US Open",1980-09-10,"mcenroe",1959-02-16,21.5660506502396,21,1,2
"Roland Garros",1981-06-10,"borg",1956-06-06,25.0102669404517,25,1,11
"Wimbledon",1981-07-16,"mcenroe",1959-02-16,22.4120465434634,22,1,3
"US Open",1981-09-10,"mcenroe",1959-02-16,22.5653661875428,22,1,4
NA,1982-01-19,"edberg",1966-01-19,16,16,0,0
"Roland Garros",1982-06-10,"wilander",1964-08-22,17.7987679671458,17,1,1
"Wimbledon",1982-07-16,"connors",1952-09-02,29.8672142368241,29,1,6
"US Open",1982-09-10,"connors",1952-09-02,30.0205338809035,30,1,7
"Australian Open",1983-01-29,"wilander",1964-08-22,18.4366872005476,18,1,2
"Wimbledon",1983-07-16,"mcenroe",1959-02-16,24.4106776180698,24,1,5
"US Open",1983-09-10,"connors",1952-09-02,31.0198494182067,31,1,8
NA,1983-11-22,"becker",1967-11-22,16,16,0,0
"Australian Open",1984-01-29,"wilander",1964-08-22,19.4360027378508,19,1,3
"Roland Garros",1984-06-10,"lendl",1960-03-07,24.2600958247776,24,1,1
"Wimbledon",1984-07-16,"mcenroe",1959-02-16,25.4127310061602,25,1,6
NA,1984-08-27,"newcombe",1944-05-23,40.2628336755647,40,0,6
"US Open",1984-09-10,"mcenroe",1959-02-16,25.5660506502396,25,1,7
"Australian Open",1985-01-29,"edberg",1966-01-19,19.0280629705681,19,1,1
"Roland Garros",1985-06-10,"wilander",1964-08-22,20.7994524298426,20,1,4
"Wimbledon",1985-07-16,"becker",1967-11-22,17.6481861738535,17,1,1
"US Open",1985-09-10,"lendl",1960-03-07,25.5112936344969,25,1,2
NA,1986-04-29,"agassi",1970-04-29,16,16,0,0
"Roland Garros",1986-06-10,"lendl",1960-03-07,26.258726899384,26,1,3
"Wimbledon",1986-07-16,"becker",1967-11-22,18.6475017111567,18,1,2
NA,1986-08-17,"courier",1970-08-17,16,16,0,0
"US Open",1986-09-10,"lendl",1960-03-07,26.5106091718001,26,1,4
"Australian Open",1987-01-29,"edberg",1966-01-19,21.0266940451745,21,1,2
"Roland Garros",1987-06-10,"lendl",1960-03-07,27.2580424366872,27,1,5
NA,1987-08-12,"sampras",1971-08-12,16,16,0,0
"US Open",1987-09-10,"lendl",1960-03-07,27.5099247091034,27,1,6
"Australian Open",1988-01-29,"wilander",1964-08-22,23.4360027378508,23,1,5
"Roland Garros",1988-06-10,"wilander",1964-08-22,23.8001368925394,23,1,6
"Wimbledon",1988-07-16,"edberg",1966-01-19,22.4887063655031,22,1,3
"US Open",1988-09-10,"wilander",1964-08-22,24.0520191649555,24,1,7
"Australian Open",1989-01-29,"lendl",1960-03-07,28.8980150581793,28,1,7
"Wimbledon",1989-07-16,"becker",1967-11-22,21.6481861738535,21,1,3
"US Open",1989-09-10,"becker",1967-11-22,21.8015058179329,21,1,4
"Australian Open",1990-01-29,"lendl",1960-03-07,29.8973305954825,29,1,8
"Wimbledon",1990-07-16,"edberg",1966-01-19,24.4873374401095,24,1,4
"US Open",1990-09-10,"sampras",1971-08-12,19.0800821355236,19,1,1
"Australian Open",1991-01-29,"becker",1967-11-22,23.1868583162218,23,1,5
"Roland Garros",1991-06-10,"courier",1970-08-17,20.8131416837782,20,1,1
"US Open",1991-09-10,"edberg",1966-01-19,25.6399726214921,25,1,5
"Australian Open",1992-01-29,"courier",1970-08-17,21.45106091718,21,1,2
"Roland Garros",1992-06-10,"courier",1970-08-17,21.8151950718686,21,1,3
"Wimbledon",1992-07-16,"agassi",1970-04-29,22.2149212867899,22,1,1
"US Open",1992-09-10,"edberg",1966-01-19,26.6420260095825,26,1,6
NA,1992-09-10,"kuerten",1976-09-10,16,16,0,0
"Australian Open",1993-01-29,"courier",1970-08-17,22.4531143052704,22,1,4
"Wimbledon",1993-07-16,"sampras",1971-08-12,21.927446954141,21,1,2
"US Open",1993-09-10,"sampras",1971-08-12,22.0807665982204,22,1,3
"Australian Open",1994-01-29,"sampras",1971-08-12,22.466803559206,22,1,4
"Wimbledon",1994-07-16,"sampras",1971-08-12,22.9267624914442,22,1,5
"US Open",1994-09-10,"agassi",1970-04-29,24.3668720054757,24,1,2
NA,1994-11-07,"borg",1956-06-06,38.4202600958248,38,0,11
"Australian Open",1995-01-29,"agassi",1970-04-29,24.7529089664613,24,1,3
NA,1995-02-06,"vilas",1952-08-17,42.4722792607803,42,0,4
"Wimbledon",1995-07-16,"sampras",1971-08-12,23.9260780287474,23,1,6
NA,1995-09-04,"lendl",1960-03-07,35.4934976043806,35,0,8
"US Open",1995-09-10,"sampras",1971-08-12,24.0793976728268,24,1,7
"Australian Open",1996-01-29,"becker",1967-11-22,28.186173853525,28,1,6
"US Open",1996-09-10,"sampras",1971-08-12,25.0814510609172,25,1,8
"Australian Open",1997-01-29,"sampras",1971-08-12,25.4674880219028,25,1,9
"Roland Garros",1997-06-10,"kuerten",1976-09-10,20.7474332648871,20,1,1
"Wimbledon",1997-07-16,"sampras",1971-08-12,25.927446954141,25,1,10
NA,1997-08-08,"federer",1981-08-08,16,16,0,0
NA,1997-10-06,"wilander",1964-08-22,33.1225188227242,33,0,7
NA,1997-11-03,"edberg",1966-01-19,31.7891854893908,31,0,6
"Wimbledon",1998-07-16,"sampras",1971-08-12,26.9267624914442,26,1,11
"Roland Garros",1999-06-10,"agassi",1970-04-29,29.1143052703628,29,1,4
"Wimbledon",1999-07-16,"sampras",1971-08-12,27.9260780287474,27,1,12
"US Open",1999-09-10,"agassi",1970-04-29,29.3661875427789,29,1,5
"Australian Open",2000-01-29,"agassi",1970-04-29,29.7522245037645,29,1,6
"Roland Garros",2000-06-10,"kuerten",1976-09-10,23.7481177275838,23,1,2
"Wimbledon",2000-07-16,"sampras",1971-08-12,28.9281314168378,28,1,13
"Australian Open",2001-01-29,"agassi",1970-04-29,30.7542778918549,30,1,7
NA,2001-03-28,"wawrinka",1985-03-28,16,16,0,0
"Roland Garros",2001-06-10,"kuerten",1976-09-10,24.7474332648871,24,1,3
NA,2002-06-03,"nadal",1986-06-03,16,16,0,0
NA,2002-08-05,"becker",1967-11-22,34.7022587268994,34,0,6
"US Open",2002-09-10,"sampras",1971-08-12,31.0800821355236,31,1,14
"Australian Open",2003-01-29,"agassi",1970-04-29,32.7529089664613,32,1,8
NA,2003-05-15,"murray",1987-05-15,16,16,0,0
NA,2003-05-22,"djokovic",1987-05-22,16,16,0,0
"Wimbledon",2003-07-16,"federer",1981-08-08,21.9356605065024,21,1,1
NA,2003-08-25,"sampras",1971-08-12,32.0355920602327,32,0,14
"Australian Open",2004-01-29,"federer",1981-08-08,22.4750171115674,22,1,2
"Wimbledon",2004-07-16,"federer",1981-08-08,22.9377138945927,22,1,3
"US Open",2004-09-10,"federer",1981-08-08,23.0910335386721,23,1,4
"Roland Garros",2005-06-10,"nadal",1986-06-03,19.0198494182067,19,1,1
"Wimbledon",2005-07-16,"federer",1981-08-08,23.937029431896,23,1,5
